MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
1,1,HOU,74,PIT,23,1131.0,2,1.0,WN,146.5
1,3,DEN,82,SAT,74,794.0,2,9.0,WN,150.5
1,4,DFW,74,ONT,91,1188.0,2,2.0,AA,261.0
1,3,ATL,34,MEM,54,332.0,2,1.0,DL,115.75
1,2,JFK,22,SJC,91,2569.0,2,3.0,B6,231.0
1,2,FLL,33,DTW,43,1127.0,2,5.0,DL,119.0
1,2,HNL,2,JFK,22,4983.0,1,1.0,HA,341.5
1,2,SFO,91,SEA,93,679.0,2,3.0,AS,226.5
1,3,PHL,23,BNA,54,675.0,2,1.0,WN,152.0
1,4,LGA,22,ORD,41,733.0,2,1.0,AA,197.0
1,4,EUG,92,SFO,91,451.0,2,1.0,UA,359.0
1,3,ALB,22,ORD,41,723.0,2,1.0,UA,285.0
1,1,MCO,33,LGA,22,950.0,2,3.0,DL,241.26
1,4,LAS,85,SFO,91,414.0,2,1.0,WN,162.37
1,3,PVD,15,MDW,41,842.0,2,9.0,WN,156.0
1,4,IAH,74,MCO,33,854.0,2,2.0,UA,183.0
1,4,PDX,92,LAX,91,834.0,2,1.0,DL,167.5
1,2,DEN,82,ORD,41,888.0,2,1.0,UA,236.0
1,2,MSP,63,SEA,93,1399.0,2,1.0,DL,329.0
1,1,FNT,43,RSW,33,1138.0,2,4.0,WN,144.5
1,3,MKE,45,LAX,91,1756.0,2,1.0,WN,151.5
1,1,HNL,2,SAN,91,2614.0,1,18.0,HA,198.0
1,3,ORD,41,CMH,44,296.0,2,1.0,UA,162.0
1,4,AUS,74,SEA,93,1770.0,2,1.0,AS,228.0
1,3,PIT,23,SFO,91,2254.0,2,1.0,UA,227.88
1,2,PHX,81,SJC,91,621.0,2,1.0,AA,183.5
1,3,JFK,22,LAX,91,2475.0,2,1.0,B6,375.0
1,1,ATL,34,CMH,44,447.0,2,1.0,DL,243.0
1,4,LAS,85,CMH,44,1771.0,2,3.0,WN,192.5
1,1,LGA,22,BOS,13,184.0,2,1.0,AA,76.0
1,4,DTW,43,STL,64,440.0,2,6.0,WN,120.0
1,2,SAN,91,CLT,36,2077.0,2,1.0,AA,513.0
1,1,BOS,13,CLE,44,563.0,2,1.0,B6,100.5
1,2,LAX,91,HNL,2,2556.0,1,3.0,UA,460.5
1,2,ATL,34,SJU,3,1547.0,1,2.0,DL,245.5
1,2,EWR,21,SFO,91,2565.0,2,1.0,AS,128.28
1,2,SAT,74,ATL,34,874.0,2,4.0,DL,138.0
1,1,PHX,81,ORD,41,1440.0,2,1.0,UA,274.0
1,3,LAS,85,ORD,41,1514.0,2,1.0,AA,367.0
1,3,SEA,93,ORD,41,1721.0,2,1.0,AA,581.0
1,2,MCI,64,MSP,63,393.0,2,1.0,WN,204.0
1,4,DAL,74,LAS,85,1067.0,2,2.0,WN,221.5
1,3,CMH,44,OAK,91,2110.0,2,1.0,WN,187.5
1,3,IAD,38,SEA,93,2306.0,2,2.0,UA,410.0
